station_id,station_name,arrond_name,arrond_abbrev,arrond_area
6270,Fabre / St-Zotique,Rosemont-La Petite-Patrie,RO,15886530.2734387
6271,St-Jean-Baptiste / Notre-Dame,Rivière-des-Prairies-Pointe-aux-Trembles,RP,50047004.4704679
6272,de Bordeaux / St-Zotique,Rosemont-La Petite-Patrie,RO,15886530.2734387
6273,Cartier / Bélanger,Rosemont-La Petite-Patrie,RO,15886530.2734387
6274,de la Roche / St-Joseph,Le Plateau-Mont-Royal,PM,8151665.08032495
6275,Chambord / Jean-Talon,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6276,de la Roche / Bélanger,Rosemont-La Petite-Patrie,RO,15886530.2734387
6277,Louis-Hébert / Beaubien,Rosemont-La Petite-Patrie,RO,15886530.2734387
6278,Louis-Hébert / St-Zotique,Rosemont-La Petite-Patrie,RO,15886530.2734387
6279,Louis-Hébert / Bélanger,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6280,Casgrain / Laurier,Le Plateau-Mont-Royal,PM,8151665.08032495
6281,Resther / St-Joseph,Le Plateau-Mont-Royal,PM,8151665.08032495
6301,Parc Outremont (Bloomfield / Elmwood),Outremont,OM,3813355.72326504
6302,Stuart / St-Viateur,Outremont,OM,3813355.72326504
6303,Pratt / Van Horne,Outremont,OM,3813355.72326504
6304,Rockland / Lajoie,Outremont,OM,3813355.72326504
6305,Davaar / de la Côte-Ste-Catherine,Outremont,OM,3813355.72326504
6306,Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy),Outremont,OM,3813355.72326504
6307,Laval / Rachel,Le Plateau-Mont-Royal,PM,8151665.08032495
6309,4e avenue / de Verdun,Verdun,VD,22328673.5349607
6310,de Soissons / de Darlington,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6311,Drolet / St-Zotique,Rosemont-La Petite-Patrie,RO,15886530.2734387
6312,de Kent / de la Côte-des-Neiges,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6313,Palm / St-Remi,Le Sud-Ouest,SO,18144269.4942672
6314,de Lanaudière / Marie-Anne,Le Plateau-Mont-Royal,PM,8151665.08032495
6315,Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges),Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6316,Swail / Decelles,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6321,Gary-Carter / St-Laurent,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6322,St-Dominique / Gounod,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6323,Guizot / St-Laurent,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6324,de Liège / Lajeunesse,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6327,Drolet / Faillon,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6328,De Gaspé / Villeray,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6329,Drolet / Gounod,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
